isbn;title;author_name;description;publish_date;cover_image_url
9786254051371;Aelita;Aleksey Tolstoy;Aleksey N. Tolstoy’un 1923 yılında yazılmış ve pek çok dünya diline çevrilmiş yapıtı Aelita, çağın fizik, astronomi ve tarih görüşlerini sentezleyen bir serüven. Bir Sovyet mucidi ile eski bir Kızılordu neferi, Mars’ta yeni bir uygarlık savaşının içinde buluyorlar kendilerini. Sosyal eşitliği kurma iddiasındaki bir ülkeden gelip ilahi bir ilgi ve korkuyla karşılanıyorlar. “Göklerin Oğullarını” ilahi tahtlarından indiren ilk etken, çökmekte olan eşitsiz Marslı uygarlığının güzel prensesi Aelita’nın aşkı oluyor, ikincisi ise isyan. Yayımlandığından bu yana pek çok kez sinemaya uyarlanmış Aelita, zamanın göreliliği, roket fiziği, Sovyet sistemi gibi temalardan yararlanan yazarın “Batı’nın Çöküşü” teorileriyle tartışması olarak da değerlendirilir.;16.08.2023;https://img.kitapyurdu.com/v1/getImage/fn:11305123/wh:true/wi:800
9786053325505;Anabasis (Karton Kapak) & On Binler'in Dönüşü;Ksenophon;Anabasis - On Binler’in Dönüşü, Pers prensi Kyros’un iktidarı ele geçirmek için ağabeyi II. Artakserkes’e karşı açtığı sefere katılan Yunanlı askerlerin savaş ve yurda dönüş macerasını anlatır. Ksenophon’un anı ve deneyimlerini aktardığı Anabasis, çoğu Anadolu’da geçen büyük bir askerî seferin güncesidir.;1.03.2019;https://img.kitapyurdu.com/v1/getImage/fn:1112060/wh:true/wi:800
9786053604099;Anna Karenina;Lev N. Tolstoy;"Lev Nikolayeviç Tolstoy (1828-1910): Savaş ve Barış, Diriliş ve Kreutzer Sonat’ın büyük yazarı, sadece toplumsal olayları değil, bireyin duygularını da olağanüstü tasvir yeteneğiyle aktarmıştır. Yazar, en ünlü eserlerinden biri olan Anna Karenina’da evlilik, aşk ve ölüm konularını derin bir gözlem gücüyle ele almış, muhteşem edebi dehasıyla işlemiştir. 1875-1877 yılları arasında Ruskiy Vestnik dergisinde tefrika edilen romanın ilk baskısı 1878’de yapılmıştır.
Pek çok yazar ve eleştirmen Anna Karenina’yı gelmiş geçmiş en büyük roman saymaktadır. Tolstoy’un bu büyük eseri birçok kez sinemaya da uyarlanmıştır.";21.08.2023;https://img.kitapyurdu.com/v1/getImage/fn:6828407/wh:true/wi:800
9789944888530;Aşk Sanatı;Publius Ovidius Naso (Ovide);Publius Ovidius Naso, İÖ 1-2 yıllarında kaleme aldığı Aşk Sanatı adlı şiiriyle Romalı genç erkeklere ve genç kızlara aşk öğretmenliği yaptı.;4.05.2018;https://img.kitapyurdu.com/v1/getImage/fn:171861/wh:true/wi:800
9786254298318;Atatürk’ün Okuduğu Kitaplar;Gürbüz Tüfekçi;"“Cumhuriyet Türkiyesi’nin kuruluş evresinde en güncel kitaplık Çankaya’daydı. Çoğu kitap bizzat Atatürk ve yakın çevresi tarafından yurt dışına ısmarlanmıştı. Çankaya Kitaplığı, tüm reform girişimleriyle eşgüdüm içerisinde olan, o gün için Fransızca üzerinden Batı’nın izini süren bir bilgi hazinesiydi. Kitaplık ana hatlarıyla Osmanlı’nın çağdaşlaşma sürecinde 18. yüzyıl Aydınlanma çağı düşünürlerini, 1789 Fransız Devrimi’ni ve 1870 ertesi Üçüncü Cumhuriyet Fransası’nı kapsıyordu. Bu evrelerin düşünürlerinin, bir neslin, Atatürk’ün de mensup olduğu Jön Türk neslinin fikir dağarcığını ne denli derinden etkilemiş olduğunu kanıtlıyordu. Atatürk ve mensup olduğu nesil için siyasi şiar, Aydınlanma devriyle filizlenen ve Fransız Devrimi’yle somutlaşan milli egemenlik anlayışıydı.”
                                                                                                                                                         Zafer Toprak
Gürbüz D. Tüfekçi’nin derlediği Atatürk’ün Okuduğu Kitaplar, Türkiye İş Bankası Kültür Yayınları tarafından 1983 ve 1985’te iki cilt olarak basılmıştı. Elinizdeki edisyon Tüfekçi’nin Özel İşaretleri, Uyarıları ve Düştüğü Notlar ile Atatürk’ün Okuduğu Kitaplar: Eski ve Yeni Yazılı Türkçe Kitaplar ve Atatürk’ün Okuduğu Kitaplar: Yabancı Dillerdeki Kitaplar çalışmasından bir seçki olarak hazırlandı. Asıl nüshaları Anıtkabir’deki Atatürk ve Kurtuluş Savaşı Müzesi özel arşivinde bulunan Fransızca ve eski harfli Türkçe kitaplardan günümüz teknolojisiyle görüntüsü alınan sayfalar, yeni çevirileriyle bir araya getirildi. Atatürk’ün kitaplarda dikkatini çeken bölümlere düştüğü notlar, özel işaretler ve uyarılar dipnotlar halinde kitaba konuldu. Gazi Mustafa Kemal Atatürk’ün entelektüel kimliğinin izini sürmek için önemli bir kaynak niteliği taşıyan bu yeni edisyona Prof. Dr. Afet İnan, Prof. Dr. Zafer Toprak, Sadi Borak ve Atatürk’ün kütüphanecisi Nuri Ulusu’nun Gazi’nin kitaplığıyla ilgili yazılarından bölümler eklendi.";1.08.2024;https://img.kitapyurdu.com/v1/getImage/fn:11919691/wh:true/wi:800
9786053326465;Atebetü’l-Hakayık;Edib Ahmed Bin Mahmud Yükneki;Yazılı Türk edebiyatının ilk döneminden günümüze ulaşabilmiş az sayıda eserden biri olan Atebetü’l-Hakayık, Hakaniye lehçesi de denilen Karahanlı dönemi Türkçesinin nadir örneklerindendir ve Türk edebiyatı tarihinde ayrı bir öneme sahiptir. Uygur Türkçesi ve aruz ölçüsüyle yazılmış olan Atebetü’l-Hakayık, kolayca anlaşılacak ve akılda tutulabilecek şekilde düzenlenmiş, yazarı tarafından Büyük Emir Dad Sipehsâlâr Bey’e armağan edilmiştir.;12.01.2019;https://img.kitapyurdu.com/v1/getImage/fn:1133360/wh:true/wi:800
9786053602088;Ayçöreği ve Denizyıldızı;Sunay Akın;"Kız Kulesi’nin, Galata Kulesi’yle yaşadığı bir gecelik aşk sonrasında dünyaya gelen bir çocuğu vardır!.. Kız Kulesi, minarelerin baskısından korktuğu için ayrılmak zorunda kalır çocuğundan. İstanbul’u terk ederken, babası olan Galata Kulesi’ne bir anlık dönüp bakan, ama sevgi dolu bakışlarına hiçbir karşılık alamayan çocuk Lizbon’a yerleşir... Ve orada, “Belém Kulesi” adıyla bilinir.

1513 yılında, Lizbon limanının savunulması amacıyla yapılan Belém Kulesi, Afrika ve Hindistan’a düzenlenen sömürge seferlerinin başlangıç yeri olur. Bu yapının Galata Kulesi ile Kız Kulesi’nin “gayrimeşru” çocuğu olduğu iddiamızı güçlendirmek için biraz daha bilgi verelim: Kırk iki metre yüksekliğinde olan kule altı katlıdır ve girişinde bir sarnıç bulunur. Kız Kulesi’nde de, biri içerde, öbürü dışarda olmak üzere iki sarnıç olduğu birçok kaynakta yazılıdır. Belém Kulesi de, annesi ve babası gibi hapishane olarak kullanılır. Kulede yaşayan bir prensesin üzüm sepetinden çıkan yılan tarafından sokularak öldüğü söylencesi de Lizbonluların dilinde yıllardır anlatılır. Aynı efsane Kız Kulesi için de söylenir. En önemli delil ise kulenin görünümü ve bulunduğu yerdir. Galata Kulesi’ne benzeyen Belém Kulesi, kıyıya çok yakın olan kayalıklar üstüne kuruludur. Yani, tıpkı annesi olan Kız Kulesi gibi!..";24.09.2021;https://img.kitapyurdu.com/v1/getImage/fn:292865/wh:true/wi:800
9786257070508;Ayrılık Çeşmesi Sokağı;Selçuk Altun;"Ziya Adlan kırk yıldır akademisyenlik yaptığı Cenevre’den dönüp, Ayrılık Çeşmesi Sokağı’ndaki bakımsız konağına sığınır. Osmanlı hanedanına mensup bu gizemli adam hastadır. Artvin hayatta en büyük tutkusu saksafon çalmak olan bir doktora öğrencisidir. Tanımadığı bir adam sol elinin iki parmağını kestirir ve bu olay onun hayatına damgasını vurur. Artvin’in yeni görevi Ziya Bey’in bakıcılığıdır.

Selçuk Altun romanlarının bildiğimiz muzip ve gizemli atmosferine kör bir Osmanlı çeşmesinin tanıklığında davet ediliyoruz. Romanın iki ana karakterini bekleyen büyük sırra doğru yaklaşırken, ustaca aktarılan ilginç yan hikâyelerle pek çok tarihi olaya, kişiye, sanat yapıtına kısacası hayata dair bilgilerle de donanıyoruz.";3.06.2020;https://img.kitapyurdu.com/v1/getImage/fn:11231402/wh:true/wi:800
9786254053733;Ayrılık Sevdaya Dahil;Attila İlhan;"Mevsimlik sevdaların unutulmuş kızları, tasaları gizli cam güzeli kızlar, Sansaryan Han’da sorgulananlar, kullanılmış yüzlerini aynalara bırakan muhbirler, derinlemesine yalnız tutuklular, mağlup sarhoşlar, parmak uçlarından yıldızlar damlayan adamlar...
Attilâ İlhan birbirinden sahici insanlarıyla kent resimleri çiziyor bize. Tanıyoruz o insanları, kimi ben, kimi sen, kimi o...
Bizler...";18.05.2021;https://img.kitapyurdu.com/v1/getImage/fn:11414068/wh:true/wi:800
9786254296161;Ayten;Burhan Cahit Morkaya;"Kızıl Serap’ın devamı olarak kurgulanan Ayten’de, bu defa anne Ayten ile kızı Ayten’in İstanbul’dan Paris’e uzanan hayatları konu edilir. Cumhuriyet’in ilanıyla hız kazanan modern hayata uyum sağlayan anne, kızını kendi ayakları üzerinde duracak donanımda ve özgür bir birey olarak yetiştirir. Babasız büyüyen genç kız, çeşitli sporlarla ve sanatsal faaliyetlerle ilgilenen, girdiği her ortamda ilgi gören fakat annesinin tecrübeleri dolayısıyla duygusal ilişkilere mesafeli duran eğitimli bir bireydir. Ancak Ayten’in Orhan Bey’le tanışması ve sonrasında meydana gelen olaylar, anne kızı sonu sürprizlere varan kaderlerine götürecektir.
Burhan Cahit Morkaya, romanda yarattığı eğitimli, sportif, kendine yeten, özgüvenli ve cinsiyet ayrımcılığına meydan okuyan güçlü kadın imajıyla birkaç kuşak Aytenlerin isim babası olmuştur. Ayten, Kızıl Serap’ın devamı olmasına rağmen ondan bağımsız olarak da okunabilir.
 
Burhan Cahit Morkaya (1892-1949) Gazeteci, yazar ve matbaacı Burhan Cahit Morkaya, İstanbul’da doğdu. Mercan İdadisi’ni bitirdikten sonra Mekteb-i Mülkiye’den mezun oldu (1912). Gazeteciliğe öğrencilik yıllarında Yeni Gazete’de başladı. Osmanlı Milli Ajansı’nda çalıştı. Servet-i Fünûn’da hikâye ve fantezi türünde yazıları ile Fransızcadan çevirileri yayımlandı. 1920-1928 yılları arasında mizah gazetesi Karagöz’ün müdürlüğünü ve başyazarlığını üstlendi. Karagöz, onun yönetiminde Anadolu’da en çok okunan popüler gazeteler arasına girdi. 1928 yılında, ölümüne kadar çıkarmaya devam edeceği Yeni Köroğlu gazetesini kurdu. 1920’li ve 30’lu yılların en çok okunan popüler roman yazarlarından biri olan Morkaya, çoğu roman olmak üzere hikâye, tiyatro, fantezi ve fıkra gibi edebi türlerde kırka yakın eser kaleme aldı. Bunların bazıları İkdam, Son Saat, Akşam, Vatan ve Milliyet gibi dönemin önde gelen gazetelerinde tefrika edildi. Geçimini kalemiyle kazanan ve romanlarında çoğunlukla Birinci Dünya Savaşı ve sonrasında Türkiye’de oluşan yeni toplumsal hayatı, kadın-erkek ilişkilerini ve Batılılaşmayı işleyen Morkaya’nın yarattığı tipler, isimleri ve yaşantılarıyla halk tarafından beğenilmiş ve adeta bir nesle rol model olmuştur. Yazarın seçme eserlerine Türk Edebiyatı Klasikleri Dizimizde yer vermeyi sürdüreceğiz.";3.01.2024;https://img.kitapyurdu.com/v1/getImage/fn:11826430/wh:true/wi:800
